券商買賣股票成交價量資訊
股票代碼,="4958"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,172.00,15000,0,,2,1020合　　庫,172.50,23000,11000 
3,1020合　　庫,173.00,5004,10200,,4,1020合　　庫,173.50,22303,16000 
5,1020合　　庫,174.00,9000,5900,,6,1020合　　庫,175.00,5000,0 
7,1020合　　庫,175.50,6000,0,,8,1020合　　庫,176.00,5002,0 
9,1020合　　庫,177.00,3000,0,,10,1020合　　庫,177.50,1000,4000 
11,1020合　　庫,178.00,1000,3030,,12,1020合　　庫,178.50,1000,0 
13,1020合　　庫,179.00,8000,0,,14,1020合　　庫,179.50,4300,0 
15,1020合　　庫,181.50,2000,0,,16,1020合　　庫,182.00,2000,0 
17,1020合　　庫,182.50,2000,0,,18,1020合　　庫,183.00,2000,0 
19,1020合　　庫,183.50,5000,0,,20,1020合　　庫,184.00,4000,0 
21,1020合　　庫,184.50,2000,0,,22,1020合　　庫,185.00,2000,0 
23,1021合庫台中,172.00,4000,0,,24,1021合庫台中,172.50,1000,0 
25,1021合庫台中,173.00,3000,6100,,26,1021合庫台中,173.50,2200,1000 
27,1021合庫台中,174.00,2000,2000,,28,1021合庫台中,175.00,100,0 
29,1021合庫台中,175.50,5000,1000,,30,1021合庫台中,176.00,0,1000 
31,1021合庫台中,177.50,1000,0,,32,1021合庫台中,178.00,1000,1300 
33,1021合庫台中,178.50,2000,0,,34,1021合庫台中,179.50,1000,1000 
35,1021合庫台中,181.00,1000,0,,36,1021合庫台中,184.00,1000,0 
37,1021合庫台中,185.50,1000,2000,,38,1022合庫台南,172.50,5,5000 
39,1022合庫台南,173.00,3100,14000,,40,1022合庫台南,173.50,0,3000 
41,1022合庫台南,174.00,8000,500,,42,1022合庫台南,176.00,1000,0 
43,1022合庫台南,177.00,1000,0,,44,1022合庫台南,177.50,5,0 
45,1022合庫台南,178.00,1000,0,,46,1022合庫台南,178.50,1000,0 
47,1022合庫台南,179.50,0,4000,,48,1022合庫台南,183.00,100,0 
49,1022合庫台南,184.00,1000,0,,50,1022合庫台南,184.50,0,1000 
51,1023合庫高雄,172.00,1000,0,,52,1023合庫高雄,172.50,1000,1000 
53,1023合庫高雄,173.00,3050,0,,54,1023合庫高雄,173.50,10,2150 
55,1023合庫高雄,174.00,0,2000,,56,1023合庫高雄,174.50,100,0 
57,1023合庫高雄,175.00,1000,1000,,58,1023合庫高雄,175.50,200,0 
59,1023合庫高雄,177.50,2000,13000,,60,1023合庫高雄,178.00,0,1000 
61,1023合庫高雄,178.50,1000,1000,,62,1023合庫高雄,179.00,1000,2000 
63,1023合庫高雄,180.00,0,1,,64,1023合庫高雄,183.00,0,1000 
65,1023合庫高雄,183.50,1000,0,,66,1023合庫高雄,185.00,1000,1000 
67,1023合庫高雄,186.00,0,1000,,68,1024合庫嘉義,173.00,2050,1000 
69,1024合庫嘉義,174.50,1000,0,,70,1024合庫嘉義,175.50,0,2000 
71,1024合庫嘉義,180.00,0,1000,,72,1024合庫嘉義,181.50,1000,0 
73,1025合庫基隆,172.50,100,0,,74,1025合庫基隆,173.00,1000,0 
75,1025合庫基隆,174.00,0,3000,,76,1025合庫基隆,177.00,100,0 
77,1025合庫基隆,177.50,1000,0,,78,1025合庫基隆,178.00,0,3000 
79,1025合庫基隆,179.00,1000,0,,80,1025合庫基隆,182.00,1000,0 
81,1028合庫彰化,172.50,1000,1000,,82,1028合庫彰化,173.00,1000,1000 
