母券商,買股數,賣股數,回轉股數(FIFO),回轉張數(FIFO),均買價,均賣價,已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股)
統一,"146,908","672,506","146,908",147,176.98,174.73,"-602,957","20,507","38,095","-661,559","-525,598"
富邦,"880,669","1,337,227","880,669",881,176.42,176.34,"-621,996","123,736","232,121","-977,853","-456,558"
元富,"203,601","610,777","203,601",204,177.84,172.51,"-1,189,080","28,420","52,529","-1,270,028","-407,176"
華南,"333,727","425,410","333,727",334,177.84,176.62,"-480,741","47,170","88,304","-616,215","-91,683"
C富邦,"67,028","80,605","67,028",67,178.41,175.44,"-307,750","9,420","17,476","-334,646","-13,577"
新光,"472,517","482,328","472,517",473,178.5,176.72,"-885,182","66,953","125,188","-1,077,322","-9,811"
d元大,"55,223","62,126","55,223",55,181.28,173.82,"-420,485","7,821","14,385","-442,691","-6,903"
國泰,"710,470","714,033","710,470",710,178.24,176.05,"-1,589,328","100,418","187,564","-1,877,311","-3,563"
群益,"515,852","279,403","279,403",279,181.68,176.69,"-1,887,104","40,148","74,051","-2,001,304","236,449"
港商野村,"1,023,000","526,000","526,000",526,177.93,172.66,"-1,086,000","72,907","136,229","-1,295,137","497,000"
