母券商,買張,賣張,買賣超,均買價,均賣價
9A00永豐金,1562,441,1121,176.99,175.79
台灣摩根,1978,1088,890,175.21,174.23
美商高盛,1704,904,800,175.38,179.24
美林,1299,538,761,175.71,177.47
瑞銀,1720,1070,650,176.1,178.12
摩根大通,1255,708,547,174.71,179.71
港商野村,1023,526,497,177.93,172.66
群益,516,279,237,181.68,176.69
9A89永豐敦北,255,19,236,177.09,176.98
法銀巴黎,112,0,112,175.51,
花旗環球,103,4,99,176.96,178.25
聯邦,74,6,68,177.8,180.66
C臺銀,90,28,62,175.39,175.52
合庫,204,145,59,175.8,175.37
p兆豐,57,2,55,177.96,176.25
兆豐景美,55,2,53,175.82,174.69
陽信,51,4,47,180.61,176.54
f兆豐鹿港,40,2,38,176.49,176.31
F玉山,57,23,34,176.51,173.01
Y元大,39,7,32,176.81,178.45
l元富大裕,42,16,26,177.27,176.03
9A9H永豐,39,14,25,174.55,174.86
臺銀,57,33,24,175.9,176.21
g統一,29,5,24,177.98,179.38
9A9x永豐,43,20,23,176.37,176.47
9A9Z永豐,23,0,23,177.29,
C元大,47,25,22,177.33,176.59
E元富城中,34,12,22,173.97,174.02
a兆豐,30,9,21,176.84,178.5
E群益,23,2,21,177.76,173.6
元大桃興,24,4,20,176.99,178.27
H群益,23,3,20,176.78,172.5
Q元大,61,42,19,181.24,176.02
D玉山,23,4,19,181.34,177.89
K兆豐,21,2,19,174.18,173.91
玉山,192,174,18,177.76,176.3
g元大,42,24,18,177.45,176.85
I元大天母,32,14,18,178.81,176.72
W第一華江,24,6,18,177.78,178.92
9A9G永豐天母,30,13,17,177.4,183.7
b統一,25,8,17,173.8,175.88
B群益,19,2,17,175.28,176.04
w元富佳里,74,58,16,178.01,173.09
C第一,20,4,16,177.12,177.34
G元富,18,2,16,174.67,177.73
富邦陽明,30,15,15,177.26,177.67
9A92永豐萬盛,22,7,15,177.64,177.52
d?亞鑫豐,19,4,15,176.26,176.43
L元大莒光,35,21,14,176.7,174.17
V兆豐,33,19,14,177.87,179.24
E元大草屯,26,12,14,178.25,174.31
9A9s永豐,25,11,14,175.97,177.55
9A9Y永豐板盛,21,7,14,175.57,177
華南古亭,18,4,14,175.53,176.93
N元富,15,1,14,175.57,177.96
o元富新興,34,21,13,177.19,176.48
S元大崇德,20,7,13,176.8,175.34
u群益瑞豐,19,6,13,175.95,174.66
B玉山,18,5,13,177.96,175.2
9A9A永豐,14,1,13,178.15,183.93
富邦仁愛,53,41,12,176.94,175.08
致和佳里,30,18,12,176.06,173.5
9A9a永豐苓雅,20,8,12,177.26,174.56
h元大屏生,18,6,12,176.46,174.67
R富邦南員,15,3,12,175.89,178.5
I群益,13,1,12,174.4,174
A元大,46,35,11,175.21,177.1
宏遠,34,23,11,178.22,181.2
康和,34,23,11,179.14,178.03
M元大,17,6,11,174.49,177.32
Z富邦,17,6,11,177.93,173.73
?亞網路,16,5,11,175.42,175.6
P第一路竹,16,5,11,176.57,174.91
e元大,16,5,11,177.42,177.44
P元大,15,4,11,173.51,177.2
W元大站前,11,0,11,174.69,178.11
Q元富,45,35,10,177.4,176.84
h元大,24,14,10,176.15,176.75
元大永寧,24,14,10,175.19,177.95
K富邦七賢,23,13,10,176.67,175.34
J統一,18,8,10,177.89,177.77
c國票敦北,16,6,10,174.69,177.5
S凱基,15,5,10,176.6,174.44
F元大,13,3,10,176.45,172.66
I元富,13,3,10,175.74,173.67
X元大新生,13,3,10,179.24,174.85
元大興安,13,3,10,178,172.67
A企銀民雄,12,2,10,176.79,174.25
光和,12,2,10,175.34,174.44
a元大中北,11,1,10,179.48,174.36
g群益,50,41,9,176.08,182.93
K中信託高,39,30,9,176.04,174.59
亞東,29,20,9,176.48,175.91
M統一,21,12,9,181.12,177.75
德信,14,5,9,176.68,175.4
W兆豐城中,11,2,9,176.82,179.25
C元大新中,10,1,9,178.48,179.42
V元大北重,10,1,9,175.74,179.02
盈溢,10,1,9,178.5,173
B元大,56,48,8,179.74,176.08
K元大竹科,20,12,8,177.85,174.42
9A91永豐,19,11,8,177.42,175.16
C元富潮洲,18,10,8,177.71,178.86
元大大益,16,8,8,182.2,178.67
R元大竹山,15,7,8,182.3,177.07
9A99永豐,13,5,8,176.29,174.43
,12,4,8,176.45,174.71
E元大發財,12,4,8,177.67,179.75
U統一,11,3,8,174.72,174.17
i元大大雅,10,2,8,176.04,173.02
G企銀埔墘,9,1,8,176,173
Q統一三多,8,0,8,175.73,
聯邦興中,8,0,8,175.56,
B台新,38,31,7,178.35,175.6
J元大彰生,23,16,7,177.75,174.12
9A9U永豐,16,9,7,174.83,173.89
元大新盛,15,8,7,176.43,177.88
群益東大,15,8,7,177.22,177.14
J玉山,14,7,7,175.96,176.37
D國票,12,5,7,175.92,176.4
D宏遠,12,5,7,176.18,177.3
凱基高美,12,5,7,176.01,175.6
F富邦,10,3,7,176.25,178.5
E凱基,9,2,7,177,179.25
E合庫,9,2,7,175.54,177.45
元大敦化,9,2,7,180.04,174
大展,9,2,7,177.72,174.98
C凱基雙和,7,0,7,178.57,
Y凱基東勢,7,0,7,176.79,172.5
凱基敦北,7,0,7,173.17,174.7
中信,49,43,6,176.94,174.38
A群益,46,40,6,183.69,177.71
中銀,27,21,6,177.94,177.4
I兆豐北高,23,17,6,177.81,177.57
D群益東門,20,14,6,174.38,176.48
e元大清水,16,10,6,177.67,176.6
M第一,15,9,6,174.66,177.44
C元大路竹,13,7,6,177.71,177.33
9A9d永豐古亭,10,4,6,176.43,179.26
d群益,10,4,6,176.65,174.53
元大板三,10,4,6,178.44,176.58
華南麻豆,10,4,6,177.31,174.84
9A9C永豐,9,3,6,175.72,175.33
R元大南海,8,2,6,176.74,178.5
群益開元,8,2,6,174.99,176.23
a元大苑裡,7,1,6,177.14,178
Y富邦,6,0,6,176.47,
A國泰,31,26,5,177.83,178.43
F富邦公益,25,20,5,174.82,176.35
J國票北高,22,17,5,179.71,181.12
9A9X永豐竹科,21,16,5,175.51,177
A臺銀,17,12,5,175.98,172.88
b元富,12,7,5,177.67,181.86
h兆豐三民,12,7,5,174.82,181.57
大昌安康,12,7,5,180.17,176.26
y元富,9,4,5,176.05,174.12
元大北港,9,4,5,176,174
v國票,8,3,5,175.88,176.67
H富邦新板,7,2,5,176.58,173.32
N凱基,7,2,5,176.14,181.09
元大東泰,7,2,5,176.5,176.24
R兆豐,6,1,5,177.68,174
S統一,6,1,5,181.33,178
元大學府,6,1,5,173.89,173
凱基大直,6,1,5,178.31,174
聯邦雙和,6,1,5,183.83,174.5
F土銀,5,0,5,174.9,
Y第一,5,0,5,175.3,178.36
i兆豐,5,0,5,176.8,175
華南永昌,38,34,4,175.66,175.68
Z元富安南,27,23,4,180.27,176.64
W元富吉利,20,16,4,176.09,180.45
元大永春,17,13,4,178.67,176.9
新百王,17,13,4,175.77,174.65
福勝,17,13,4,175.82,175.32
q元富,15,11,4,178.38,178.98
D群益潭子,13,9,4,182.96,176.43
U富邦,12,8,4,178.71,178.56
B元大博愛,11,7,4,176.41,179.5
k元大古亭,11,7,4,178.59,175.36
U元大華山,10,6,4,177.95,176.29
M富邦木柵,9,5,4,177.43,172.72
N第一,8,4,4,177.29,176.9
P兆豐,8,4,4,174.76,177.1
D元大南投,7,3,4,176.88,174.85
北城,7,3,4,174.72,174.2
E富邦,6,2,4,178.51,178.5
元大土城,6,2,4,178.72,176.5
元大大灣,6,2,4,178.43,173.68
Q宏遠,5,1,4,175.08,178.5
R康和石牌,4,0,4,174.62,
華南潮州,4,0,4,176.93,174.67
c統一仁愛,29,26,3,174.54,175.71
Y群益,17,14,3,176.7,174.57
元大大天,16,13,3,174.59,175.04
J康和,14,11,3,175.64,175.95
A第一新興,13,10,3,177.19,173.4
H統一,13,10,3,177.3,175.54
元大鑫永,13,10,3,176.65,178.15
A富邦,12,9,3,179.5,176.56
y元大善化,9,6,3,178.09,177.76
安泰大發,9,6,3,174.5,176.17
m統一,8,5,3,176.8,175.2
M群益,7,4,3,177.71,177.21
U兆豐桃鶯,7,4,3,179.93,173.5
群益高盛,6,3,3,179,179.71
9A9q永豐潮州,5,2,3,175.88,173.88
B統一,5,2,3,185,179
E元大南勢,5,2,3,173.18,173.98
S元富,5,2,3,179.3,172.5
i元富,5,2,3,173.54,176.98
H兆豐東門,4,1,3,172.75,173.5
L群益建成,4,1,3,177.77,174
M元大木柵,4,1,3,174.97,172.55
z群益,4,1,3,174.23,177.43
永全南崁,4,1,3,172.8,178
H宏遠,3,0,3,173.67,
e群益,3,0,3,176.23,
元大大直,3,0,3,175.71,174.7
國票內壢,3,0,3,177.62,
石橋,3,0,3,176.17,
d兆豐,38,36,2,175.54,176.65
K群益東湖,32,30,2,177.8,176.88
C富邦竹科,17,15,2,178.88,178.55
9A9N永豐桃盛,16,14,2,175.17,179.9
K富邦,16,14,2,178.02,175.98
V元大,16,14,2,175.7,177.4
A玉山,14,12,2,175.63,174.87
D元大北府,14,12,2,176.15,174.87
L元大成功,11,9,2,173.67,175.14
D凱基市府,10,8,2,174.99,182.41
9A9e永豐,9,7,2,180.38,175.32
K元大林園,9,7,2,176.94,175.4
陽信石牌,9,7,2,179.72,179.5
E第一自由,8,6,2,176.74,175
元大和平,7,5,2,177.54,173.32
9A61永豐,6,4,2,173.72,176.14
A中銀,5,3,2,174.93,173.8
M凱基,5,3,2,176.17,176.83
z元富,5,3,2,176.37,180.58
B康和,4,2,2,178.12,184.58
C元大鳳中,4,2,2,176.29,175.93
D兆豐西螺,4,2,2,176.38,175.25
凱基長庚,4,2,2,177.6,178.5
彰銀七賢,4,2,2,173.75,173.96
N國泰,3,1,2,174.5,176
企銀九如,3,1,2,176,173.5
元大向上,3,1,2,174.08,174.26
華南世貿,3,1,2,173.64,174.79
華南東勢,3,1,2,179.07,173
華南東昇,3,1,2,176.51,172.5
E康和澎湖,2,0,2,173,
g元富中原,2,0,2,174.11,
日進,2,0,2,177.63,174
永興大墩,2,0,2,181.75,175
第一澎湖,2,0,2,173.39,
致和東門,2,0,2,175,
