序號,券商,價格,買進股數,賣出股數
1,1020合庫,210.0,24000,2000
2,1020合庫,210.5,97428,10600
3,1020合庫,211.0,5299,1100
4,1020合庫,211.5,495,0
5,1020合庫,212.0,15920,29420
6,1020合庫,212.5,7280,5070
7,1020合庫,213.0,7550,0
8,1020合庫,213.5,6000,2000
9,1021合庫台中,210.0,41000,0
10,1021合庫台中,210.5,54210,7500
11,1021合庫台中,211.0,6819,200
12,1021合庫台中,211.5,5715,400
13,1021合庫台中,212.0,19415,1000
14,1021合庫台中,212.5,12540,6000
15,1021合庫台中,213.0,14155,0
16,1021合庫台中,213.5,2500,900
17,1022合庫台南,210.0,10000,22000
18,1022合庫台南,210.5,14740,0
19,1022合庫台南,211.0,4320,3000
20,1022合庫台南,211.5,1100,0
21,1022合庫台南,212.0,5350,123
22,1022合庫台南,212.5,5300,12000
23,1022合庫台南,213.0,9030,0
24,1022合庫台南,213.5,400,0
25,1023合庫高雄,210.0,11000,0
26,1023合庫高雄,210.5,15110,2000
27,1023合庫高雄,211.0,4275,2020
28,1023合庫高雄,211.5,1125,0
29,1023合庫高雄,212.0,4250,1000
30,1023合庫高雄,212.5,4111,3000
31,1023合庫高雄,213.0,9060,2800
32,1023合庫高雄,213.5,1200,100
33,1024合庫嘉義,210.0,13000,0
34,1024合庫嘉義,210.5,6125,0
35,1024合庫嘉義,211.0,3596,20500
36,1024合庫嘉義,211.5,100,0
37,1024合庫嘉義,212.0,1100,0
38,1024合庫嘉義,212.5,10050,1000
39,1024合庫嘉義,213.0,500,0
40,1024合庫嘉義,213.5,1020,0
41,1025合庫基隆,210.0,12000,0
42,1025合庫基隆,210.5,2574,0
43,1025合庫基隆,211.0,16450,0
44,1025合庫基隆,211.5,50,1000
45,1025合庫基隆,212.0,2200,0
46,1025合庫基隆,212.5,3100,1000
47,1025合庫基隆,213.0,2020,1000
48,1025合庫基隆,213.5,2000,0
49,1028合庫彰化,210.0,30000,1000
50,1028合庫彰化,210.5,9880,2000
51,1028合庫彰化,211.0,5800,0
52,1028合庫彰化,211.5,130,0
53,1028合庫彰化,212.0,6115,0
54,1028合庫彰化,212.5,3060,1300
55,1028合庫彰化,213.0,260,0
56,1029合庫鳳山,210.0,45000,3000
57,1029合庫鳳山,210.5,27370,3000
58,1029合庫鳳山,211.0,6245,100
59,1029合庫鳳山,211.5,3200,0
60,1029合庫鳳山,212.0,1470,0
61,1029合庫鳳山,212.5,4440,5000
62,1029合庫鳳山,213.0,7000,11000
63,1029合庫鳳山,213.5,3050,100
64,102A合庫新竹,210.0,4000,1000
65,102A合庫新竹,210.5,9285,100
66,102A合庫新竹,211.0,7290,418
67,102A合庫新竹,211.5,100,0
68,102A合庫新竹,212.0,10150,0
69,102A合庫新竹,212.5,1150,0
70,102A合庫新竹,213.0,4200,0
71,102C合庫自強,210.0,15000,9000
72,102C合庫自強,210.5,24830,1000
73,102C合庫自強,211.0,7524,3780
74,102C合庫自強,211.5,3000,200
75,102C合庫自強,212.0,9465,6000
76,102C合庫自強,212.5,14250,11000
77,102C合庫自強,213.0,6000,0
78,102E合庫桃園,210.0,19000,1000
79,102E合庫桃園,210.5,63157,6000
80,102E合庫桃園,211.0,15596,600
81,102E合庫桃園,211.5,1110,1000
82,102E合庫桃園,212.0,20455,1000
83,102E合庫桃園,212.5,3200,11000
84,102E合庫桃園,213.0,3150,14
85,102E合庫桃園,213.5,400,0
86,102F合庫西台,210.0,5000,2000
87,102F合庫西台,210.5,14750,8500
88,102F合庫西台,211.0,5530,300
89,102F合庫西台,211.5,360,0
90,102F合庫西台,212.0,6300,0
91,102F合庫西台,212.5,4020,3000
92,102F合庫西台,213.0,10210,320
93,102F合庫西台,213.5,0,15
94,102G合庫三重,210.0,9000,0
95,102G合庫三重,210.5,10110,1000
96,102G合庫三重,211.0,1750,0
97,102G合庫三重,211.5,50,0
98,102G合庫三重,212.0,4000,0
99,102G合庫三重,212.5,200,1000
100,102G合庫三重,213.0,500,0
101,102G合庫三重,213.5,210,0
102,1030土銀,210.0,15000,2000
103,1030土銀,210.5,10631,8000
104,1030土銀,211.0,7070,0
105,1030土銀,211.5,1249,0
106,1030土銀,212.0,9420,1000
107,1030土銀,212.5,7106,3000
108,1030土銀,213.0,2020,10000
109,1030土銀,213.5,1878,5000
110,1031土銀台中,210.0,11000,23000
111,1031土銀台中,210.5,6000,0
112,1031土銀台中,211.0,160,25000
113,1031土銀台中,212.0,4060,0
114,1031土銀台中,212.5,2000,0
115,1031土銀台中,213.0,2300,0
116,1031土銀台中,213.5,1101,0
117,1032土銀台南,210.0,4000,4000
118,1032土銀台南,210.5,4250,1000
119,1032土銀台南,211.0,1405,0
120,1032土銀台南,211.5,100,0
121,1032土銀台南,212.5,130,24000
122,1032土銀台南,213.0,20,2000
123,1032土銀台南,213.5,100,2000
124,1033土銀高雄,210.0,3000,5000
125,1033土銀高雄,210.5,4200,20000
126,1033土銀高雄,211.0,130,0
127,1033土銀高雄,211.5,5100,0
128,1033土銀高雄,212.0,7000,0
129,1033土銀高雄,212.5,2010,1000
130,1034土銀嘉義,210.0,5000,0
131,1034土銀嘉義,210.5,17130,2000
132,1034土銀嘉義,211.0,2200,0
133,1034土銀嘉義,212.0,1200,0
134,1034土銀嘉義,212.5,0,3000
135,1034土銀嘉義,213.0,0,1000
136,1034土銀嘉義,213.5,30,0
137,1035土銀新竹,210.0,21000,0
138,1035土銀新竹,210.5,15200,0
139,1035土銀新竹,211.0,4450,0
140,1035土銀新竹,212.0,7350,1000
141,1035土銀新竹,212.5,4200,2000
142,1035土銀新竹,213.0,1000,1000
143,1035土銀新竹,213.5,1010,0
144,1036土銀玉里,210.0,10000,0
145,1036土銀玉里,210.5,5200,0
146,1036土銀玉里,211.0,2260,11000
147,1036土銀玉里,211.5,200,0
148,1036土銀玉里,212.5,0,2000
149,1036土銀玉里,213.0,5200,0
150,1037土銀花蓮,210.0,7000,1000
151,1037土銀花蓮,210.5,7210,41000
152,1037土銀花蓮,211.0,2250,3000
153,1037土銀花蓮,211.5,0,20000
154,1037土銀花蓮,212.0,2000,0
155,1038土銀和平,210.0,2000,0
156,1038土銀和平,210.5,4500,0
157,1038土銀和平,211.0,1000,0
158,1038土銀和平,212.0,3230,0
159,1038土銀和平,212.5,2100,0
160,1038土銀和平,213.0,0,1040
161,1039土銀士林,210.0,3000,4000
162,1039土銀士林,210.5,5100,0
163,1039土銀士林,211.0,1000,0
164,1039土銀士林,211.5,100,0
165,1039土銀士林,212.5,1200,0
166,103A土銀建國,210.0,3000,1000
167,103A土銀建國,210.5,9000,2000
168,103A土銀建國,211.0,3782,0
169,103A土銀建國,211.5,4000,0
170,103A土銀建國,212.0,7300,1000
171,103A土銀建國,212.5,7000,1000
172,103A土銀建國,213.0,1110,0
173,103B土銀彰化,210.0,1000,2000
174,103B土銀彰化,210.5,9030,6000
175,103B土銀彰化,211.0,50,0
176,103B土銀彰化,211.5,0,5000
177,103B土銀彰化,212.0,1300,0
178,103B土銀彰化,212.5,1000,0
