券商,買張,賣張,買賣超,均買價,均賣價
9200凱基,2615,458,2157,210.5,210.25
1360港麥格理,2539,1270,1269,211.77,210.47
1110企銀,1069,5,1064,211.47,211.28
5850統一,1205,154,1051,210.63,211.57
8560新光,1223,324,899,211.03,211.15
8888國泰敦南,1609,714,895,211.21,211.24
8150台新,949,382,567,211.03,212.31
8580聯邦,591,39,552,210.69,211.24
6160中國信託,656,105,551,210.85,210.68
980u元大府城,450,24,426,211.22,211.72
8586聯邦大業,415,31,384,212.37,210.98
9333華南長虹,335,19,316,211.91,211.59
5857統一新竹,318,12,306,211.02,211.36
538B第一新竹,298,43,255,212.11,211.07
9A8F永豐敦南,252,8,244,210.48,211.7
9100群益,297,73,224,210.86,210.87
888K國泰板橋,306,105,201,210.93,211.56
616K中信託高,228,28,200,211.44,211.33
989N元大內湖,231,37,194,211.35,211.26
884J玉山大里,196,12,184,210.82,211.86
8881國泰高雄,244,62,182,211.3,210.58
9654富邦永和,243,61,182,211.11,210.9
888A國泰館前,315,135,180,211.18,211.39
9655富邦板橋,291,116,175,211.35,210.97
920N凱基湖口,182,11,171,211.07,211.02
8882國泰台中,377,211,166,211.23,211.38
9898元大新莊,208,43,165,211.29,211.28
9658富邦建國,240,77,163,211.21,210.99
9875元大永寧,188,25,163,211.15,211.32
9138群益中港,165,2,163,211.63,211.5
5320高橋,168,11,157,211.37,211.63
9661富邦新店,206,50,156,211.51,211.51
9647富邦新竹,200,46,154,211.16,211.62
9604富邦陽明,227,74,153,211.23,211.69
9623富邦台北,219,72,147,211.06,211.19
8561新光台中,203,58,145,211.15,211.24
538W第一華江,194,50,144,210.51,210.77
8885國泰桃園,184,42,142,211.16,210.95
1021合庫台中,156,16,140,211.05,211.54
700b兆豐中壢,145,7,138,210.63,211.46
9856元大花蓮,160,23,137,210.89,211.32
9B2q元富屏東,149,12,137,210.42,212.51
1040臺銀,165,33,132,210.85,211.16
8846玉山板橋,170,39,131,210.83,211.0
961R富邦南員,139,8,131,211.69,211.08
538M第一嘉義,151,21,130,210.26,211.47
961H富邦新板,145,15,130,211.28,211.04
988B元大桃園,136,9,127,211.05,210.77
9834元大中壢,190,64,126,211.14,211.79
981I元大天母,128,2,126,211.19,211.36
8840玉山,204,79,125,210.98,210.85
920F凱基站前,232,109,123,211.54,210.68
989E元大草屯,156,36,120,210.95,211.35
884B玉山台中,149,29,120,211.02,210.91
980C元大斗六,132,14,118,210.6,210.71
9B2M元富彰化,130,12,118,210.61,212.2
8886國泰新莊,184,67,117,211.37,211.61
9621富邦花蓮,133,16,117,210.9,211.86
585E統一新營,126,10,116,212.37,212.35
9A9J永豐板新,169,55,114,210.99,211.14
1020合庫,164,50,114,210.91,211.69
9326華南南京,148,34,114,211.14,211.14
9858元大龍潭,138,27,111,211.33,211.52
989j元大樹林,129,18,111,210.86,211.05
9275凱基三多,116,6,110,210.84,210.5
989F元大高雄,132,23,109,211.42,210.78
9634富邦羅東,156,48,108,211.09,211.61
981r元大屏南,133,26,107,210.97,211.75
9217凱基松山,113,6,107,211.0,211.92
102E合庫桃園,126,21,105,210.86,211.68
9676富邦仁愛,250,146,104,211.0,211.49
9302華南台中,142,38,104,211.15,210.74
9667富邦台南,125,22,103,211.02,211.91
986K元大基孝,139,38,101,211.19,210.5
8841玉山雙和,121,20,101,211.25,211.42
