母券商,買張,賣張,買賣超,均買價,均賣價
元大,14446,9541,4905,211.24,211.21
富邦,5790,1922,3868,211.15,211.28
統一,2921,841,2080,210.95,211.14
凱基,7884,6075,1809,210.89,211.37
群益,2663,1155,1508,211.18,211.39
華南,2705,1262,1443,211.34,210.88
玉山,2116,741,1375,211.09,210.92
企銀,1358,59,1299,211.39,211.26
新光,1811,531,1280,211.08,211.21
港麥格理,2539,1270,1269,211.77,210.47
第一,1856,679,1177,211.05,211.42
台新,1975,806,1169,211.08,211.75
元富,2468,1340,1128,211.04,210.72
聯邦,1258,153,1105,211.3,210.91
兆豐,1988,1085,903,211.22,210.75
國票,1318,502,816,211.11,211.35
合庫,964,234,730,211.0,211.45
中國信託,656,105,551,210.85,210.68
臺銀,778,386,392,211.09,210.86
美好,463,97,366,211.13,211.19
中信託,613,288,325,211.19,211.31
大昌,341,129,212,211.06,210.87
高橋,241,36,205,211.34,211.55
中信,205,39,166,211.23,211.28
康和,479,323,156,211.22,210.8
亞東,188,45,143,211.34,211.81
宏遠,244,123,121,211.17,211.05
永全,126,12,114,211.24,210.92
土銀,365,264,101,210.98,211.09
德信,110,10,100,211.68,211.1
京城,117,18,99,211.19,210.49
安泰,91,8,83,211.41,211.43
中銀,130,51,79,210.99,210.92
6110台中銀,99,20,79,211.42,211.21
北城,125,52,73,211.21,211.22
彰銀,111,40,71,210.89,211.29
光和,119,49,70,211.24,210.79
陽信,78,11,67,211.01,211.09
d?亞鑫豐,73,11,62,211.22,212.32
永興,59,2,57,211.41,210.75
國泰,3716,3660,56,211.2,210.89
致和,64,16,48,211.34,212.14
日茂,59,14,45,210.97,210.57
中農,65,22,43,211.34,211.14
臺銀金山,128,91,37,211.54,212.28
安泰大發,42,7,35,210.69,210.79
宏遠新化,54,20,34,212.05,210.0
宏遠光隆,44,11,33,211.01,210.96
永興水湳,37,5,32,210.93,211.3
高橋內壢,36,4,32,211.29,212.16
日進,40,13,27,211.0,211.08
光和花壇,45,20,25,211.08,210.42
陽信石牌,43,18,25,211.12,210.63
致和崇德,46,22,24,211.06,211.09
致和府前,21,0,21,211.0,
致和佳里,27,7,20,211.23,210.13
福勝,63,45,18,211.51,210.78
大展,25,8,17,211.08,210.63
彰銀七賢,25,8,17,211.38,210.5
永全南崁,44,29,15,211.78,210.86
德信和平,17,2,15,211.18,210.0
台企建成,14,0,14,211.66,
日茂南投,15,2,13,210.64,212.5
致和金華,20,8,12,211.18,211.19
新百王,42,31,11,211.66,211.13
福邦,16,5,11,210.56,210.0
光和和美,12,2,10,210.67,212.5
?亞,10,0,10,210.9,
口袋,34,25,9,211.17,211.26
盈溢,7,0,7,211.14,
石橋,7,2,5,212.35,212.25
寶盛,5,3,2,211.8,210.17
日茂埔里,5,3,2,210.7,211.33
盈溢籬子內,3,1,2,211.67,210.0
致和東門,3,2,1,211.03,211.5
大昌安康,30,30,0,211.46,210.78
永興大墩,6,6,0,210.67,210.17
光和溪湖,19,22,-3,211.56,210.82
光和田中,27,38,-11,211.69,210.52
?亞網路,12,33,-21,210.87,211.95
大和國泰,0,66,-66,,211.72
上海匯豐,154,255,-101,210.32,211.0
港商野村,6,179,-173,211.08,211.65
花旗環球,863,1221,-358,210.64,210.63
永豐,4756,5156,-400,210.91,211.33
法銀巴黎,43,464,-421,210.76,210.23
美商高盛,1075,4233,-3158,211.06,211.24
摩根大通,562,5686,-5124,212.41,210.98
瑞銀,163,5295,-5132,210.74,211.11
美林,477,8654,-8177,211.28,211.4
台灣摩根,848,9989,-9141,211.71,211.07
