母券商,回轉股數,均買價,均賣價,價差,毛利(均價法),手續費_買,手續費_賣,證交稅,淨損益(均價法)
台新,805653,211.08,211.75,0.672,541781,67854,68070,255901,149957
上海匯豐,154000,210.32,211.0,0.673,103698,12924,12965,48741,29069
臺銀金山,91011,211.54,212.28,0.736,66966,7682,7709,28979,22596
?亞網路,12390,210.87,211.95,1.083,13417,1042,1048,3939,7387
d?亞鑫豐,10627,211.22,212.32,1.095,11642,896,900,3384,6461
致和,16024,211.34,212.14,0.792,12691,1351,1356,5099,4884
日茂南投,2000,210.64,212.5,1.863,3726,168,170,638,2751
光和和美,2000,210.67,212.5,1.826,3653,168,170,638,2678
高橋內壢,3624,211.29,212.16,0.87,3151,306,307,1153,1386
港商野村,6000,211.08,211.65,0.562,3372,505,507,1905,455
日茂埔里,3000,210.7,211.33,0.633,1900,252,253,951,444
致和東門,2000,211.03,211.5,0.467,934,168,169,634,-37
亞東,45240,211.34,211.81,0.474,21465,3815,3823,14374,-547
永興水湳,5000,210.93,211.3,0.369,1843,421,422,1585,-584
石橋,2000,212.35,212.25,-0.097,-194,169,169,637,-1170
盈溢籬子內,1000,211.67,210.0,-1.667,-1667,84,84,315,-2150
永興,2000,211.41,210.75,-0.663,-1326,169,168,632,-2295
安泰大發,7250,210.69,210.79,0.099,720,609,610,2292,-2791
德信和平,2000,211.18,210.0,-1.182,-2364,169,168,630,-3330
彰銀,40000,210.89,211.29,0.401,16040,3366,3372,12677,-3376
安泰,8050,211.41,211.43,0.021,172,679,679,2553,-3739
致和金華,8000,211.18,211.19,0.008,63,674,674,2534,-3820
陽信,11100,211.01,211.09,0.083,917,935,935,3515,-4467
福邦,5000,210.56,210.0,-0.559,-2796,420,419,1575,-5210
日進,13086,211.0,211.08,0.075,977,1102,1102,4143,-5370
永興大墩,6000,210.67,210.17,-0.501,-3007,504,503,1892,-5906
宏遠光隆,11190,211.01,210.96,-0.045,-502,942,942,3541,-5927
寶盛,3000,211.8,210.17,-1.633,-4900,254,252,946,-6351
合庫,234480,211.0,211.45,0.455,106617,19741,19783,74373,-7280
大展,8110,211.08,210.63,-0.453,-3673,683,682,2562,-7600
永全,12000,211.24,210.92,-0.322,-3861,1011,1010,3796,-9679
口袋,24700,211.17,211.26,0.092,2270,2081,2082,7827,-9721
高橋,35780,211.34,211.55,0.205,7338,3017,3020,11354,-10053
致和崇德,22000,211.06,211.09,0.027,599,1853,1853,6966,-10073
彰銀七賢,8000,211.38,210.5,-0.877,-7019,675,672,2526,-10892
致和佳里,6880,211.23,210.13,-1.106,-7612,580,577,2169,-10937
德信,10303,211.68,211.1,-0.582,-5994,870,868,3262,-10995
日茂,14000,210.97,210.57,-0.394,-5522,1178,1176,4422,-12299
6110台中銀,19500,211.42,211.21,-0.208,-4057,1645,1643,6178,-13523
中農,22000,211.34,211.14,-0.203,-4457,1855,1853,6968,-15133
中信,38576,211.23,211.28,0.05,1928,3251,3252,12226,-16801
陽信石牌,17990,211.12,210.63,-0.487,-8763,1515,1512,5684,-17474
瑞銀,163000,210.74,211.11,0.374,60883,13706,13730,51616,-18169
京城,18500,211.19,210.49,-0.707,-13086,1559,1554,5841,-22040
光和花壇,20000,211.08,210.42,-0.653,-13056,1684,1679,6313,-22732
光和溪湖,19097,211.56,210.82,-0.735,-14027,1612,1606,6039,-23285
北城,52390,211.21,211.22,0.009,450,4415,4415,16599,-24979
中銀,51087,210.99,210.92,-0.067,-3417,4301,4299,16163,-28180
新百王,31300,211.66,211.13,-0.53,-16600,2643,2637,9913,-31793
大昌安康,29862,211.46,210.78,-0.677,-20207,2519,2511,9441,-34679
企銀,59309,211.39,211.26,-0.128,-7565,5002,4999,18795,-36361
永全南崁,29000,211.78,210.86,-0.915,-26545,2450,2440,9172,-40607
美好,96912,211.13,211.19,0.063,6067,8164,8166,30700,-40963
法銀巴黎,43000,210.76,210.23,-0.523,-22499,3616,3607,13560,-43282
光和田中,26887,211.69,210.52,-1.171,-31478,2271,2258,8490,-44498
光和,48660,211.24,210.79,-0.449,-21864,4101,4092,15385,-45443
凱基,6074622,210.89,211.37,0.478,2900923,511154,512311,1925983,-48526
宏遠新化,20000,212.05,210.0,-2.051,-41014,1692,1676,6300,-50682
福勝,45100,211.51,210.78,-0.725,-32716,3806,3793,14260,-54575
中國信託,104672,210.85,210.68,-0.166,-17393,8806,8799,33078,-68076
第一,679261,211.05,211.42,0.378,256776,57199,57301,215417,-73141
宏遠,123050,211.17,211.05,-0.114,-14019,10368,10362,38955,-73704
大昌,129122,211.06,210.87,-0.194,-24985,10874,10864,40842,-87565
土銀,264040,210.98,211.09,0.111,29301,22227,22239,83605,-98770
中信託,287577,211.19,211.31,0.127,36579,24232,24247,91153,-103053
國票,502055,211.11,211.35,0.238,119476,42289,42337,159161,-124311
聯邦,153067,211.3,210.91,-0.394,-60255,12905,12881,48424,-134465
美林,477484,211.28,211.4,0.119,56681,40252,40274,151407,-175251
新光,531076,211.08,211.21,0.13,69269,44728,44756,168256,-188472
統一,841187,210.95,211.14,0.194,163330,70801,70866,266412,-244749
臺銀,385722,211.09,210.86,-0.232,-89627,32487,32451,121998,-276564
康和,323364,211.22,210.8,-0.416,-134453,27252,27198,102248,-291150
群益,1155132,211.18,211.39,0.211,243652,97333,97430,366279,-317390
永豐,4755595,210.91,211.33,0.418,1986899,400204,400996,1507506,-321807
美商高盛,1075134,211.06,211.24,0.175,187654,90541,90616,340661,-334164
花旗環球,862592,210.64,210.63,-0.011,-9187,72495,72492,272526,-426700
玉山,741096,211.09,210.92,-0.166,-123073,62419,62370,234473,-482334
富邦,1922175,211.15,211.28,0.137,264195,161939,162044,609189,-668977
台灣摩根,848234,211.71,211.07,-0.642,-544219,71653,71436,268556,-955863
兆豐,1085410,211.22,210.75,-0.476,-516676,91476,91270,343120,-1042541
元富,1339966,211.04,210.72,-0.313,-419423,112831,112663,423546,-1068463
摩根大通,562146,212.41,210.98,-1.433,-805635,47643,47322,177901,-1078500
華南,1262247,211.34,210.88,-0.46,-580266,106437,106205,399268,-1192176
港麥格理,1270000,211.77,210.47,-1.295,-1644133,107308,106652,400949,-2259042
國泰,3660447,211.2,210.89,-0.31,-1135853,308463,308010,1157932,-2910259
元大,9540964,211.24,211.21,-0.038,-358228,804175,804032,3022678,-4989113
?亞,0,210.9,,,,0,,,
台企建成,0,211.66,,,,0,,,
大和國泰,0,,211.72,,,,0,0,
盈溢,0,211.14,,,,0,,,
致和府前,0,211.0,,,,0,,,
