母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
台新,805653,806,818732,135813,255901,427018,1975148,805653,211.08,211.75,1169495,1169,211.32,0,0,,1169495,多,211.32
統一,841187,841,549948,141512,266412,142024,2921291,841187,210.95,211.14,2080104,2080,211.13,0,0,,2080104,多,211.13
新光,531076,531,369216,89365,168256,111595,1810554,531076,211.08,211.21,1279478,1279,211.32,0,0,,1279478,多,211.32
凱基,6074622,6075,3029994,1023414,1925983,80598,7883526,6074622,210.89,211.37,1808904,1809,210.96,0,0,,1808904,多,210.96
臺銀金山,91011,91,109778,15373,28979,65425,127936,91011,211.54,212.28,36925,37,212.7,0,0,,36925,多,212.7
合庫,234480,234,177884,39495,74373,64016,963904,234480,211.0,211.45,729424,729,211.1,0,0,,729424,多,211.1
高橋,35780,36,55455,6018,11354,38083,240804,35780,211.34,211.55,205024,205,211.58,0,0,,205024,多,211.58
北城,52390,52,54030,8809,16599,28623,124852,52390,211.21,211.22,72462,72,211.95,0,0,,72462,多,211.95
亞東,45240,45,46862,7628,14374,24860,188043,45240,211.34,211.81,142803,143,211.52,0,0,,142803,多,211.52
中國信託,104672,105,71088,17569,33078,20440,656499,104672,210.85,210.68,551827,552,211.01,0,0,,551827,多,211.01
企銀,59309,59,48306,9980,18795,19531,1358148,59309,211.39,211.26,1298839,1299,211.43,0,0,,1298839,多,211.43
d?亞鑫豐,10627,11,24644,1791,3384,19469,72905,10627,211.22,212.32,62278,62,211.43,0,0,,62278,多,211.43
致和,16024,16,24114,2703,5099,16312,64086,16024,211.34,212.14,48062,48,211.58,0,0,,48062,多,211.58
6110台中銀,19500,20,22300,3278,6178,12844,98781,19500,211.42,211.21,79281,79,211.75,0,0,,79281,多,211.75
中農,22000,22,20000,3699,6968,9334,64700,22000,211.34,211.14,42700,43,211.91,0,0,,42700,多,211.91
日進,13086,13,14063,2199,4143,7721,39551,13086,211.0,211.08,26465,26,211.5,0,0,,26465,多,211.5
安泰,8050,8,11550,1354,2553,7643,91480,8050,211.41,211.43,83430,83,211.55,0,0,,83430,多,211.55
致和崇德,22000,22,18000,3699,6966,7335,46188,22000,211.06,211.09,24188,24,211.78,0,0,,24188,多,211.78
陽信,11100,11,12100,1865,3515,6720,77850,11100,211.01,211.09,66750,67,211.18,0,0,,66750,多,211.18
高橋內壢,3624,4,7824,610,1153,6060,36025,3624,211.29,212.16,32401,32,211.43,0,0,,32401,多,211.43
中信,38576,39,23746,6495,12226,5026,205105,38576,211.23,211.28,166529,167,211.37,0,0,,166529,多,211.37
永全,12000,12,10500,2016,3796,4688,125680,12000,211.24,210.92,113680,114,211.36,0,0,,113680,多,211.36
致和金華,8000,8,8500,1345,2534,4621,19900,8000,211.18,211.19,11900,12,211.89,0,0,,11900,多,211.89
日茂南投,2000,2,5000,337,638,4025,15150,2000,210.64,212.5,13150,13,210.73,0,0,,13150,多,210.73
光和和美,2000,2,5000,337,638,4025,12360,2000,210.67,212.5,10360,10,210.8,0,0,,10360,多,210.8
石橋,2000,2,4000,337,637,3026,7200,2000,212.35,212.25,5200,5,213.15,0,0,,5200,多,213.15
口袋,24700,25,14764,4158,7827,2778,34227,24700,211.17,211.26,9527,10,212.48,0,0,,9527,多,212.48
安泰大發,7250,7,5750,1217,2292,2240,42146,7250,210.69,210.79,34896,35,210.84,0,0,,34896,多,210.84
永興水湳,5000,5,4500,841,1585,2074,37200,5000,210.93,211.3,32200,32,211.01,0,0,,32200,多,211.01
德信,10303,10,7050,1733,3262,2055,109800,10303,211.68,211.1,99497,99,211.81,0,0,,99497,多,211.81
宏遠光隆,11190,11,7175,1881,3541,1753,44119,11190,211.01,210.96,32929,33,211.24,0,0,,32929,多,211.24
日茂埔里,3000,3,3000,505,951,1544,5000,3000,210.7,211.33,2000,2,211.25,0,0,,2000,多,211.25
大展,8110,8,5055,1361,2562,1132,25398,8110,211.08,210.63,17288,17,211.59,0,0,,17288,多,211.59
致和東門,2000,2,2000,337,634,1029,3050,2000,211.03,211.5,1050,1,212.05,0,0,,1050,多,212.05
永興,2000,2,1000,336,632,32,59100,2000,211.41,210.75,57100,57,211.45,0,0,,57100,多,211.45
盈溢,0,0,0,0,0,0,7000,0,211.14,,7000,7,211.14,0,0,,7000,多,211.14
大和國泰,0,0,0,0,0,0,0,66000,,211.72,0,0,,66000,66,211.72,-66000,空,211.72
台企建成,0,0,0,0,0,0,13700,0,211.66,,13700,14,211.66,0,0,,13700,多,211.66
致和府前,0,0,0,0,0,0,21250,0,211.0,,21250,21,211.0,0,0,,21250,多,211.0
?亞,0,0,0,0,0,0,10250,0,210.9,,10250,10,210.9,0,0,,10250,多,210.9
陽信石牌,17990,18,8325,3020,5684,-379,42930,17990,211.12,210.63,24940,25,211.8,0,0,,24940,多,211.8
美好,96912,97,46618,16314,30700,-396,462940,96912,211.13,211.19,366028,366,211.24,0,0,,366028,多,211.24
盈溢籬子內,1000,1,0,168,315,-483,3000,1000,211.67,210.0,2000,2,212.5,0,0,,2000,多,212.5
德信和平,2000,2,0,335,630,-965,17300,2000,211.18,210.0,15300,15,211.34,0,0,,15300,多,211.34
彰銀七賢,8000,8,2105,1343,2526,-1764,25385,8000,211.38,210.5,17385,17,211.9,0,0,,17385,多,211.9
日茂,14000,14,4500,2351,4422,-2273,58600,14000,210.97,210.57,44600,45,211.19,0,0,,44600,多,211.19
福邦,5000,5,0,838,1575,-2413,16355,5000,210.56,210.0,11355,11,210.81,0,0,,11355,多,210.81
致和佳里,6880,7,440,1153,2169,-2882,26508,6880,211.23,210.13,19628,20,211.64,0,0,,19628,多,211.64
寶盛,3000,3,-2500,504,946,-3950,5000,3000,211.8,210.17,2000,2,213.0,0,0,,2000,多,213.0
京城,18500,18,3250,3106,5841,-5697,116771,18500,211.19,210.49,98271,98,211.36,0,0,,98271,多,211.36
永興大墩,6000,6,-2970,1007,1892,-5869,6020,6000,210.67,210.17,20,0,212.5,0,0,,20,多,212.5
聯邦,153067,153,67267,25735,48424,-6892,1257967,153067,211.3,210.91,1104900,1105,211.42,0,0,,1104900,多,211.42
光和花壇,20000,20,500,3358,6313,-9171,45000,20000,211.08,210.43,25000,25,211.62,0,0,,25000,多,211.62
港商野村,6000,6,-6500,1008,1890,-9398,6000,179000,211.08,211.65,0,0,,173000,173,211.7,-173000,空,211.7
?亞網路,12390,12,-4020,2083,3913,-10016,12390,33000,210.87,211.95,0,0,,20610,21,212.8,-20610,空,212.8
彰銀,40000,40,7172,6741,12677,-12246,111160,40000,210.89,211.29,71160,71,210.76,0,0,,71160,多,210.76
中銀,51087,51,11644,8594,16163,-13113,130293,51087,210.99,210.92,79206,79,211.18,0,0,,79206,多,211.18
中信託,287577,288,125100,48443,91153,-14497,613110,287577,211.19,211.31,325533,326,211.46,0,0,,325533,多,211.46
宏遠新化,20000,20,-5897,3354,6300,-15551,54360,20000,212.05,210.0,34360,34,213.07,0,0,,34360,多,213.07
新百王,31300,31,-2782,5275,9913,-17970,41610,31300,211.66,211.13,10310,10,213.0,0,0,,10310,多,213.0
光和溪湖,19097,19,-14625,3218,6038,-23881,19097,22037,211.56,210.82,0,0,,2940,3,211.03,-2940,空,211.03
永全南崁,29000,29,-14025,4885,9172,-28083,44250,29000,211.78,210.86,15250,15,212.6,0,0,,15250,多,212.6
光和,48660,49,-4900,8187,15385,-28472,119171,48660,211.24,210.79,70511,71,211.48,0,0,,70511,多,211.48
福勝,45100,45,-10660,7590,14260,-32510,62820,45100,211.51,210.78,17720,18,212.75,0,0,,17720,多,212.75
大昌安康,29862,30,-20802,5031,9441,-35273,29862,30350,211.46,210.78,0,0,,488,0,212.0,-488,空,212.0
大昌,129122,129,19860,21720,40842,-42702,340684,129122,211.06,210.87,211562,212,211.27,0,0,,211562,多,211.27
光和田中,26887,27,-33424,4529,8487,-46439,26887,38052,211.69,210.52,0,0,,11165,11,210.69,-11165,空,210.69
宏遠,123050,123,9297,20720,38955,-50378,244322,123050,211.17,211.05,121272,121,211.36,0,0,,121272,多,211.36
法銀巴黎,43000,43,-32500,7219,13545,-53264,43000,464000,210.76,210.23,0,0,,421000,421,210.26,-421000,空,210.26
國票,502055,502,190312,84597,159161,-53445,1318070,502055,211.11,211.35,816015,816,211.19,0,0,,816015,多,211.19
上海匯豐,154000,154,13500,25853,48605,-60958,154000,255000,210.32,211.0,0,0,,101000,101,211.89,-101000,空,211.89
土銀,264040,264,52800,44457,83605,-75262,364748,264040,210.98,211.09,100708,101,211.21,0,0,,100708,多,211.21
第一,679261,679,136976,114547,215417,-192988,1855978,679261,211.05,211.42,1176717,1177,210.94,0,0,,1176717,多,210.94
瑞銀,163000,163,-120000,27363,51345,-198708,163000,5295340,210.74,211.11,0,0,,5132340,5132,211.14,-5132340,空,211.14
永豐,4755595,4756,2082342,801238,1507649,-226544,4755595,5156208,210.91,211.33,0,0,,400613,401,211.09,-400613,空,211.09
臺銀,385722,386,-74000,64932,121998,-260930,778334,385722,211.09,210.86,392612,393,211.13,0,0,,392612,多,211.13
群益,1155132,1155,297829,194742,366279,-263191,2663446,1155132,211.18,211.39,1508314,1508,211.22,0,0,,1508314,多,211.22
康和,323364,323,-130388,54448,102248,-287084,479304,323364,211.22,210.8,155940,156,211.24,0,0,,155940,多,211.24
玉山,741096,741,-49551,124759,234473,-408783,2116046,741096,211.09,210.92,1374950,1375,211.14,0,0,,1374950,多,211.14
富邦,1922175,1922,380125,323937,609189,-553001,5789996,1922175,211.15,211.28,3867821,3868,211.18,0,0,,3867821,多,211.18
美林,477484,477,-609420,80260,150407,-840087,477484,8653774,211.28,211.4,0,0,,8176290,8176,211.48,-8176290,空,211.48
