母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
元大,9540964,9541,-930777,1608436,3022678,-5561891,14446237,9540964,211.24,211.21,4905273,4905,211.13,0,0,,4905273,多,211.13
國泰,3660447,3660,-1071259,616447,1157932,-2845639,3715677,3660447,211.2,210.89,55230,55,212.37,0,0,,55230,多,212.37
台灣摩根,848234,848,-1452319,142727,267194,-1862239,848234,9989000,211.71,211.07,0,0,,9140766,9141,211.17,-9140766,空,211.17
美商高盛,1075134,1075,-1141469,180626,338667,-1660763,1075134,4233000,211.06,211.24,0,0,,3157866,3158,211.66,-3157866,空,211.66
摩根大通,562146,562,-1355719,94745,177076,-1627540,562146,5686000,212.41,210.98,0,0,,5123854,5124,211.09,-5123854,空,211.09
元富,1339966,1340,-505078,225528,423546,-1154152,2467822,1339966,211.04,210.72,1127856,1128,210.96,0,0,,1127856,多,210.96
華南,1262247,1262,-488650,212605,399268,-1100524,2704846,1262247,211.34,210.88,1442599,1443,211.4,0,0,,1442599,多,211.4
兆豐,1085410,1085,-450944,182720,343120,-976783,1987858,1085410,211.22,210.75,902448,902,211.3,0,0,,902448,多,211.3
花旗環球,862592,863,-461276,144807,271847,-877930,862592,1221000,210.64,210.63,0,0,,358408,358,211.89,-358408,空,211.89
港麥格理,1270000,1270,-252500,213405,400948,-866854,2539000,1270000,211.77,210.47,1269000,1269,212.86,0,0,,1269000,多,212.86
