母券商,回轉股數(FIFO),回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),買股數(全日),賣股數(全日),均買價(全日),均賣價(全日),相抵後_買股數,相抵後_買張數,相抵後_買均價,相抵後_賣股數,相抵後_賣張數,相抵後_賣均價,期末淨部位(股),期末淨部位方向,期末部位均價
台新,805653,806,818732,135813,255901,427018,1975148,805653,211.08,211.75,1169495,1169,211.32,0,0,,1169495,多,211.32
統一,841187,841,549948,141512,266412,142024,2921291,841187,210.95,211.14,2080104,2080,211.13,0,0,,2080104,多,211.13
新光,531076,531,369216,89365,168256,111595,1810554,531076,211.08,211.21,1279478,1279,211.32,0,0,,1279478,多,211.32
凱基,6074622,6075,3029994,1023414,1925983,80598,7883526,6074622,210.89,211.37,1808904,1809,210.96,0,0,,1808904,多,210.96
臺銀金山,91011,91,109778,15373,28979,65425,127936,91011,211.54,212.28,36925,37,212.7,0,0,,36925,多,212.7
合庫,234480,234,177884,39495,74373,64016,963904,234480,211.0,211.45,729424,729,211.1,0,0,,729424,多,211.1
高橋,35780,36,55455,6018,11354,38083,240804,35780,211.34,211.55,205024,205,211.58,0,0,,205024,多,211.58
北城,52390,52,54030,8809,16599,28623,124852,52390,211.21,211.22,72462,72,211.95,0,0,,72462,多,211.95
亞東,45240,45,46862,7628,14374,24860,188043,45240,211.34,211.81,142803,143,211.52,0,0,,142803,多,211.52
中國信託,104672,105,71088,17569,33078,20440,656499,104672,210.85,210.68,551827,552,211.01,0,0,,551827,多,211.01
