母券商,買股數(全日),賣股數(全日),買超股數,買超張數,賣超股數,賣超張數,回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股),期末淨部位方向,均買價(全日),均賣價(全日)
元大,14446237,9540964,4905273,4905,-4905273,-4905,9541,-930777,1608436,3022678,-5561891,4905273,多,211.24,211.21
富邦,5789996,1922175,3867821,3868,-3867821,-3868,1922,380125,323937,609189,-553001,3867821,多,211.15,211.28
統一,2921291,841187,2080104,2080,-2080104,-2080,841,549948,141512,266412,142024,2080104,多,210.95,211.14
凱基,7883526,6074622,1808904,1809,-1808904,-1809,6075,3029994,1023414,1925983,80598,1808904,多,210.89,211.37
群益,2663446,1155132,1508314,1508,-1508314,-1508,1155,297829,194742,366279,-263191,1508314,多,211.18,211.39
華南,2704846,1262247,1442599,1443,-1442599,-1443,1262,-488650,212605,399268,-1100524,1442599,多,211.34,210.88
玉山,2116046,741096,1374950,1375,-1374950,-1375,741,-49551,124759,234473,-408783,1374950,多,211.09,210.92
企銀,1358148,59309,1298839,1299,-1298839,-1299,59,48306,9980,18795,19531,1298839,多,211.39,211.26
新光,1810554,531076,1279478,1279,-1279478,-1279,531,369216,89365,168256,111595,1279478,多,211.08,211.21
港麥格理,2539000,1270000,1269000,1269,-1269000,-1269,1270,-252500,213405,400948,-866854,1269000,多,211.77,210.47
