母券商,買股數(全日),賣股數(全日),買超股數,買超張數,賣超股數,賣超張數,回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股),期末淨部位方向,均買價(全日),均賣價(全日)
台灣摩根,848234,9989000,-9140766,-9141,9140766,9141,848,-1452319,142727,267194,-1862239,-9140766,空,211.71,211.07
美林,477484,8653774,-8176290,-8176,8176290,8176,477,-609420,80260,150407,-840087,-8176290,空,211.28,211.4
瑞銀,163000,5295340,-5132340,-5132,5132340,5132,163,-120000,27363,51345,-198708,-5132340,空,210.74,211.11
摩根大通,562146,5686000,-5123854,-5124,5123854,5124,562,-1355719,94745,177076,-1627540,-5123854,空,212.41,210.98
美商高盛,1075134,4233000,-3157866,-3158,3157866,3158,1075,-1141469,180626,338667,-1660763,-3157866,空,211.06,211.24
法銀巴黎,43000,464000,-421000,-421,421000,421,43,-32500,7219,13545,-53264,-421000,空,210.76,210.23
永豐,4755595,5156208,-400613,-401,400613,401,4756,2082342,801238,1507649,-226544,-400613,空,210.91,211.33
花旗環球,862592,1221000,-358408,-358,358408,358,863,-461276,144807,271847,-877930,-358408,空,210.64,210.63
港商野村,6000,179000,-173000,-173,173000,173,6,-6500,1008,1890,-9398,-173000,空,211.08,211.65
上海匯豐,154000,255000,-101000,-101,101000,101,154,13500,25853,48605,-60958,-101000,空,210.32,211.0
