母券商,買股數(全日),賣股數(全日),買超股數,買超張數,賣超股數,賣超張數,回轉張數(FIFO),已實現毛利(FIFO),手續費合計(FIFO),證交稅合計(FIFO),已實現淨損益(FIFO),期末淨部位(股),期末淨部位方向,均買價(全日),均賣價(全日)
9A00永豐金,1562127,440952,1121175,1121,-1121175,-1121,441,1212140,61374,116273,1034493,1121175,多,176.99,175.79
台灣摩根,1978000,1088000,890000,890,-890000,-890,1088,1196500,150797,284350,761352,890000,多,175.21,174.23
美商高盛,1704077,904000,800077,800,-800077,-800,904,5677538,127035,243045,5307459,800077,多,175.38,179.24
美林,1299000,538000,761000,761,-761000,-761,538,2425000,75225,143219,2206556,761000,多,175.71,177.47
瑞銀,1719619,1070000,649619,650,-649619,-650,1070,4165286,150430,285887,3728968,649619,多,176.1,178.12
摩根大通,1254556,708200,546356,546,-546356,-546,708,4664156,99704,190911,4373541,546356,多,174.71,179.71
港商野村,1023000,526000,497000,497,-497000,-497,526,-1086000,72907,136229,-1295137,497000,多,177.93,172.66
9A89永豐敦北,255110,18880,236230,236,-236230,-236,19,65750,2640,5012,58098,236230,多,177.09,176.98
群益,515852,279403,236449,236,-236449,-236,279,-1887104,40148,74051,-2001304,236449,多,181.68,176.69
法銀巴黎,112000,0,112000,112,-112000,-112,0,0,0,0,0,112000,多,175.51,
